,Name,RegionID,zindex,Min Rental $,Max Rental $,Avg Rental $
0,Cloverhill,225896,123400,1200,1200,1200
1,Germantown,226807,292500,1300,4300,2800
2,Buena Vista Heights,273085,72100,725,2195,1460
3,Elizabeth Park,273626,73500,745,2400,1572.5
4,Hillwood Estates,274030,410100,1500,3400,2450
5,Inglewood (Riverwood),274096,200700,995,2100,1547.5
6,Sylvan Park,275657,322200,999,2850,1924.5
7,Whites Bend,276059,222500,969,2600,1784.5
8,Villages of Brentwood,416266,182200,1450,1695,1572.5
9,Towne Village,416427,122200,1545,1545,1545
10,Priest Lake Park,416484,163000,0,0,0
11,Rayon City Beautification Association,416813,107700,225,1275,750
12,Bordeaux,225359,75700,1100,1500,1300
13,Charlotte Park,225760,163600,895,3200,2047.5
14,Tulip Grove,230221,153000,1195,1545,1370
15,Barclay Drive,272854,216100,1295,1755,1525
16,Cumberland Gardens,273423,75300,225,1000,612.5
17,Donelson Hills,273474,148500,1100,2500,1800
18,Melrose,274492,327900,1256,4000,2628
19,Osage-North Fisk,274927,70300,1050,1095,1072.5
20,Rosebank,275245,197900,1395,1800,1597.5
21,Shelby Hills,275360,145500,1100,1900,1500
22,Villages of Larchwood,275877,147300,764,1325,1044.5
23,West End Park,416164,259800,1050,3500,2275
24,Country,416448,144900,0,0,0
25,Priest Lake Meadows Homeowners,416463,137600,1100,1650,1375
26,Woodland Point,416497,145000,1350,1350,1350
27,Haynes Manor,416616,109200,1500,1500,1500
28,Heritage Square - View,416783,106100,1300,1300,1300
29,Crieve Hall,226065,301600,750,2800,1775
30,Eastwood,226381,261000,1100,3500,2300
31,Glencliff,226842,132200,675,1600,1137.5
32,Hermitage Hills,227190,129900,834,1799,1316.5
33,West Meade,230477,402600,1034,3500,2267
34,Bellmont Hillsboro,272925,433800,854,4500,2677
35,Brick Church Bellshire,273034,120700,764,1850,1307
36,CCSI (South Inglewood),273166,134500,2250,2250,2250
37,Cherokee Park,273225,432000,1295,3600,2447.5
38,Four Corners,273770,149400,1399,1810,1604.5
39,Hadley - Washngton,273913,76500,725,3500,2112.5
40,Harpeth Valley Park,273936,194300,1085,1250,1167.5
41,Lockeland Springs,274338,325300,1195,4500,2847.5
42,McMurray - Huntingdon,274479,175200,753,1750,1251.5
43,Nashboro Village,274636,108400,1295,1600,1447.5
44,Sylvan Heights,275656,224800,1050,3600,2325
45,Bowling Woodlawn,416149,610800,1700,2100,1900
46,Lennox Village,416217,182600,945,2300,1622.5
47,Whispering Hills,416408,180200,945,1650,1297.5
48,Marrowbone,228105,133600,1350,1895,1622.5
49,Woodbine,230664,121700,1050,2850,1950
50,Cleveland Park,273281,111800,1350,2595,1972.5
51,Haynes Area,273950,89300,1295,2000,1647.5
52,Heron Walk,273965,117600,725,1900,1312.5
53,Neelys Bend,274651,158200,0,0,0
54,Riverside,275436,264500,0,0,0
55,White Bridge,276056,208900,1200,2098,1649
56,Greenwood,276356,147700,1200,3750,2475
57,Hickory Woods,276373,154800,1645,1925,1785
58,Southeast,276572,256000,1100,6500,3800
59,Boon Trace,416726,209300,1900,1900,1900
60,Green Hills Neighborhood Association,417212,657700,3400,3400,3400
61,Forest View Park,416421,131800,1650,1650,1650
62,Burchwood Gardens,416655,191200,1200,1200,1200
63,Historic Old Hickory Village,416756,121000,1095,1675,1385
64,Riverwalk,416824,262600,2450,2450,2450